venue_id,name_th,zone_id,category,intents,badge,hit_rank,unseen_rank,transition_rank,plugs,wifi_mbps,seat_hours,noise,parking,food_level,indoor,shade,price_per_head_min,price_per_head_max,open_time,close_time,walk_min_from_hub,video_url,source,last_validated_at,validation_count
V101,Too Fast To Sleep (SCB Siam),siam,cafe,work,hit,1,,,all,,999,quiet,false,snacks,true,true,45,150,00:00,23:59,4,,tat,2026-07-27,0
V102,True Space (Siam Square Soi 2),siam,cafe,work,hit,2,,,all,,999,medium,false,snacks,true,true,60,150,00:00,23:59,4,,tat,2026-07-27,0
V103,Starbucks (Siam Center),siam,cafe,work,hit,3,,,some,,3,medium,true,snacks,true,true,120,250,10:00,22:00,3,,tat,2026-07-27,0
V104,Casa Lapin x CentralWorld,siam,cafe,work,hit,4,,,some,,2,medium,true,meals,true,true,101,300,10:00,22:00,12,,tat,2026-07-27,0
V105,After You Dessert Cafe (Siam Square One),siam,cafe,date;family,hit,5,,1,some,,1,medium,true,snacks,true,true,150,350,12:00,23:59,3,,tat,2026-07-27,0
V106,Erawan Tea Room (Grand Hyatt Erawan),siam,restaurant,date,hit,6,,,none,,2,quiet,true,meals,true,true,700,3200,10:00,22:00,14,,tat,2026-07-27,0
V107,Sra Bua by Kiin Kiin (Siam Kempinski),siam,restaurant,date,hit,7,,,none,,2,quiet,true,meals,true,true,2200,9999,12:00,23:59,6,,tat,2026-07-27,0
V108,SEA LIFE Bangkok Ocean World (Siam Paragon),siam,activity,family;date,hit,8,,,none,,,medium,true,snacks,true,true,690,990,10:00,20:00,5,,tat,2026-07-27,0
V109,Madame Tussauds Bangkok (Siam Discovery),siam,activity,family,hit,9,,,none,,,medium,true,drinks,true,true,700,1000,10:00,20:00,6,,tat,2026-07-27,0
V110,COCA Restaurant (CentralWorld),siam,restaurant,family,hit,10,,,none,,2,medium,true,meals,true,true,350,700,11:00,22:00,15,,tat,2026-07-27,0
V111,MBK Food Island,siam,market,family,hit,11,,3,none,,1,loud,true,meals,true,true,50,150,10:00,21:00,10,,tat,2026-07-27,0
V112,Gourmet Market / Food Hall (Siam Paragon),siam,market,family,hit,12,,2,none,,1,medium,true,meals,true,true,100,300,10:00,22:00,3,,tat,2026-07-27,0
V113,Bangkok Art and Culture Centre (BACC),siam,activity,photo;date,hit,13,,,some,,3,quiet,true,snacks,true,true,0,0,10:00,20:00,6,,tat,2026-07-27,0
V114,Jim Thompson House Museum,siam,activity,photo;date;family,hit,14,,,none,,,quiet,false,drinks,false,true,200,250,10:00,17:00,10,,tat,2026-07-27,0
V115,Erawan Shrine,siam,activity,photo;family,hit,15,,,none,,,medium,false,drinks,false,true,0,50,06:00,23:00,7,,tat,2026-07-27,0
U101,Brave Roasters (Siam Discovery 3F),siam,cafe,work,unseen,,1,,some,,2,quiet,true,meals,true,true,100,190,10:00,22:00,6,,tat,2026-07-27,0
U102,SCBX NEXT TECH (Siam Paragon 4F),siam,activity,work,unseen,,2,,all,90,4,quiet,true,drinks,true,true,0,0,10:00,21:00,6,,tat,2026-07-27,0
U103,GATTA Cafe & Roasters (Siam Square One),siam,cafe,date,unseen,,3,,some,,2,quiet,true,snacks,true,true,120,350,08:00,20:00,3,,tat,2026-07-27,0
U104,Wat Pathum Wanaram,siam,activity,photo,unseen,,4,,none,,1,quiet,true,drinks,false,true,0,0,08:00,17:00,9,,tat,2026-07-27,0
U105,Lido Connect,siam,activity,photo;date,unseen,,5,,none,,2,medium,false,snacks,true,true,0,0,11:00,22:00,4,,tat,2026-07-27,0
U106,OneSiam Skywalk BANGKOK Sign,siam,activity,photo,unseen,,6,,none,,,loud,true,drinks,false,true,0,0,06:00,23:59,5,,tat,2026-07-27,0
